Goal x, Goal y, Goal z, Planner
1.03173, -1.00684, 0.999969, racer
1.45752, -1.05799, 0.999578, racer
1.85229, -1.32349, 1.04701, racer
1.58815, -1.42625, 1.12467, racer
1.41869, -0.957717, 1.04345, racer
1.91423, -0.853214, 1.20131, racer
2.272, -1.73678, 1.54996, racer
3.12798, -2.22263, 1.98451, racer
3.30441, -2.08383, 2.0681, racer
2.47127, -2.32303, 1.39682, racer
1.94869, -3.21309, 1.05135, racer
2.03956, -3.40252, 1.34115, racer
2.04709, -2.54917, 2.05456, racer
2.47405, -1.83648, 2.11541, racer
3.6073, -1.59425, 1.9474, racer
4.44149, -1.69321, 1.51313, racer
5.07421, -2.06754, 0.834404, racer
4.90767, -2.725, 0.94556, racer
4.96451, -3.97831, 1.13077, racer
5.01533, -4.90301, 0.97931, racer
4.60815, -5.26368, 1.07771, racer
3.65879, -5.47279, 0.993739, racer
3.33332, -6.03174, 1.05317, racer
2.45146, -6.28275, 1.24136, racer
1.94341, -6.32885, 1.06809, racer
2.51336, -6.42718, 1.07289, racer
3.43598, -7.23778, 1.05082, racer
3.88982, -8.09903, 1.02422, racer
3.54632, -8.32451, 1.04271, racer
2.62212, -8.52288, 0.911701, racer
1.7699, -9.00012, 0.964948, racer
0.934046, -8.70828, 1.01234, racer
0.127441, -8.77192, 1.0123, racer
0.402429, -8.79036, 1.30591, racer
1.46159, -9.07922, 1.56041, racer
1.85913, -9.89127, 1.69422, racer
2.25985, -10.6073, 1.40506, racer
2.95402, -11.0197, 0.9054, racer
3.53577, -10.8954, 1.12732, racer
4.38561, -10.7282, 1.14273, racer
4.50214, -10.0789, 1.10062, racer
4.80061, -8.99635, 1.02267, racer
5.09936, -8.4387, 1.55624, racer
5.6792, -8.00426, 1.94218, racer
6.40362, -7.93939, 2.03067, racer
6.15435, -7.62833, 1.98696, racer
5.13985, -6.98315, 1.80125, racer
4.31618, -6.11145, 1.86619, racer
3.68685, -6.02632, 2.10212, racer
2.6835, -5.65428, 1.64114, racer
1.77048, -4.95192, 1.68229, racer
1.13048, -4.36183, 1.88358, racer
1.5213, -3.60604, 1.96442, racer
2.01163, -3.00668, 1.96982, racer
1.71428, -2.44439, 1.48431, racer
1.50434, -2.42821, 1.5241, racer
1.78781, -2.12363, 1.55626, racer
1.55485, -1.23127, 1.71374, racer
1.49797, -0.00775849, 2.06713, racer
1.92677, 0.83449, 2.04113, racer
3.00413, 1.08979, 2.15385, racer
3.75315, 0.95062, 2.15984, racer
4.37295, 0.484829, 1.487, racer
4.98645, 0.347787, 1.00951, racer
