Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.9, 46.24, 4.71837, 35.76, 10.48, 933.76
2.9, 53.104, 5.41878, 41.336, 11.768, 926.896
2.9, 64.008, 6.53143, 50.16, 13.848, 915.992
2.9, 82.44, 8.41224, 67.456, 14.984, 897.56
3.935, 123.592, 12.6114, 103.664, 19.928, 856.408
9.955, 163.232, 16.6563, 135.408, 27.824, 816.768
12.955, 186.128, 18.9927, 156.096, 30.032, 793.872
14.936, 220.832, 22.5339, 187.496, 33.336, 759.168
17.935, 245, 25, 210.352, 34.648, 735
22.955, 306.728, 31.2988, 263.568, 43.16, 673.272
24.935, 354.984, 36.2229, 304.768, 50.216, 625.016
29.955, 413.184, 42.1616, 355.888, 57.296, 566.816
31.935, 455.384, 46.4678, 394.44, 60.944, 524.616
36.955, 536.656, 54.7608, 464.208, 72.448, 443.344
40.955, 640.648, 65.3722, 556.112, 84.536, 339.352
42.935, 690.992, 70.5094, 601.608, 89.384, 289.008
46.935, 704.672, 71.9053, 616.872, 87.8, 275.328
53.91, 732.28, 74.7224, 644.816, 87.464, 247.72
55.955, 747.968, 76.3233, 658.44, 89.528, 232.032
59.955, 749.496, 76.4792, 659.608, 89.888, 230.504
63.955, 776.072, 79.191, 685.608, 90.464, 203.928
67.955, 834.224, 85.1249, 734.816, 99.408, 145.776
71.955, 835.112, 85.2155, 734.72, 100.392, 144.888
75.955, 835.112, 85.2155, 734.72, 100.392, 144.888
79.955, 835.112, 85.2155, 734.72, 100.392, 144.888
83.955, 835.112, 85.2155, 734.016, 101.096, 144.888
87.955, 835.112, 85.2155, 734.584, 100.528, 144.888
91.955, 835.112, 85.2155, 734.584, 100.528, 144.888
95.956, 835.112, 85.2155, 734.584, 100.528, 144.888
98.935, 835.112, 85.2155, 734.584, 100.528, 144.888
102.935, 835.112, 85.2155, 734.584, 100.528, 144.888
106.935, 835.112, 85.2155, 734.584, 100.528, 144.888
110.935, 835.112, 85.2155, 734.584, 100.528, 144.888
114.935, 835.112, 85.2155, 734.584, 100.528, 144.888
118.935, 835.112, 85.2155, 734.584, 100.528, 144.888
122.935, 835.112, 85.2155, 734.584, 100.528, 144.888
126.935, 835.112, 85.2155, 734.584, 100.528, 144.888
130.935, 835.112, 85.2155, 734.584, 100.528, 144.888
137.91, 835.112, 85.2155, 734.016, 101.096, 144.888
139.955, 835.112, 85.2155, 734.016, 101.096, 144.888
143.955, 835.112, 85.2155, 733.88, 101.232, 144.888
147.955, 835.112, 85.2155, 733.88, 101.232, 144.888
151.955, 835.112, 85.2155, 734.016, 101.096, 144.888
155.955, 835.112, 85.2155, 734.584, 100.528, 144.888
162.9, 835.112, 85.2155, 734.584, 100.528, 144.888
164.91, 835.112, 85.2155, 734.584, 100.528, 144.888
168.91, 835.112, 85.2155, 734.584, 100.528, 144.888
174.9, 835.112, 85.2155, 734.584, 100.528, 144.888
178.9, 835.112, 85.2155, 734.584, 100.528, 144.888
182.9, 835.112, 85.2155, 734.584, 100.528, 144.888
186.9, 835.112, 85.2155, 734.584, 100.528, 144.888
190.9, 835.112, 85.2155, 734.584, 100.528, 144.888
194.9, 835.112, 85.2155, 734.72, 100.392, 144.888
198.9, 835.112, 85.2155, 734.72, 100.392, 144.888
202.9, 835.112, 85.2155, 734.72, 100.392, 144.888
206.9, 835.112, 85.2155, 734.72, 100.392, 144.888
210.9, 835.112, 85.2155, 734.016, 101.096, 144.888
214.9, 835.112, 85.2155, 734.584, 100.528, 144.888
218.9, 835.112, 85.2155, 734.584, 100.528, 144.888
222.9, 835.112, 85.2155, 734.72, 100.392, 144.888
226.901, 835.112, 85.2155, 734.72, 100.392, 144.888
230.9, 835.112, 85.2155, 734.72, 100.392, 144.888
234.9, 835.112, 85.2155, 734.72, 100.392, 144.888
238.9, 835.112, 85.2155, 734.016, 101.096, 144.888
242.9, 835.112, 85.2155, 734.016, 101.096, 144.888
246.9, 835.112, 85.2155, 734.016, 101.096, 144.888
250.9, 835.112, 85.2155, 734.584, 100.528, 144.888
254.9, 835.112, 85.2155, 734.584, 100.528, 144.888
258.9, 835.112, 85.2155, 734.584, 100.528, 144.888
262.9, 835.112, 85.2155, 734.72, 100.392, 144.888
266.9, 835.112, 85.2155, 734.72, 100.392, 144.888
270.9, 835.112, 85.2155, 734.72, 100.392, 144.888
274.9, 835.112, 85.2155, 734.72, 100.392, 144.888
278.901, 835.112, 85.2155, 734.016, 101.096, 144.888
282.9, 835.112, 85.2155, 734.584, 100.528, 144.888
286.9, 835.112, 85.2155, 734.584, 100.528, 144.888
290.9, 835.112, 85.2155, 734.584, 100.528, 144.888
294.9, 835.112, 85.2155, 734.584, 100.528, 144.888
298.9, 835.112, 85.2155, 734.72, 100.392, 144.888
