Goal x, Goal y, Goal z, Planner
1.12734, 0.0735646, 1.02303, racer
1.79333, 0.547224, 1.19715, racer
2.14236, 0.736205, 1.31009, racer
2.11455, 1.4238, 1.96232, racer
1.85316, 1.76896, 2.33617, racer
0.656223, 2.19283, 1.85127, racer
-0.240721, 2.35734, 1.18292, racer
-0.888192, 2.9405, 1.13909, racer
-1.14155, 4.35806, 1.4494, racer
-0.87568, 5.93997, 1.46384, racer
-0.210719, 7.28476, 1.2816, racer
0.220488, 8.26165, 1.2133, racer
0.113159, 8.73621, 1.32631, racer
-0.0747753, 8.82807, 1.42035, racer
-1.07529, 9.29979, 1.50889, racer
-2.12448, 9.55654, 1.35783, racer
-2.19784, 10.6905, 1.16641, racer
-1.64069, 12.2717, 1.31238, racer
-1.1535, 13.5882, 1.35507, racer
0.0770507, 13.8856, 1.17547, racer
1.57682, 13.5336, 1.15328, racer
3.02031, 13.1776, 1.22693, racer
3.62443, 12.2313, 1.44683, racer
3.90022, 10.6905, 1.43723, racer
3.54203, 9.13671, 1.08057, racer
3.40321, 7.69753, 1.34032, racer
3.5402, 6.79607, 2.02868, racer
4.44962, 6.87661, 2.23705, racer
5.03146, 6.97129, 2.29694, racer
5.32874, 6.86894, 2.31469, racer
4.81481, 6.89506, 2.27239, racer
4.09984, 6.8928, 2.21991, racer
3.51973, 6.5078, 2.2018, racer
2.73398, 5.84738, 2.25644, racer
1.61696, 5.40094, 2.23189, racer
0.0693128, 5.42849, 2.02132, racer
-1.22203, 6.51183, 1.822, racer
-2.05102, 7.95933, 1.67483, racer
-3.37241, 8.65066, 1.84047, racer
-4.77696, 9.05937, 1.94178, racer
-5.58414, 9.70251, 1.8889, racer
-5.69957, 10.6463, 1.75331, racer
-5.09027, 11.9601, 1.66564, racer
-4.5942, 12.7676, 1.61952, racer
-4.28901, 12.8355, 1.63914, racer
-3.85187, 11.7922, 1.65011, racer
-3.63777, 10.1945, 1.63979, racer
-4.17476, 8.63243, 1.56306, racer
-4.75996, 7.08678, 1.41706, racer
-4.79135, 5.54555, 1.28176, racer
-4.92977, 4.0032, 1.29366, racer
-5.58495, 2.49759, 1.30521, racer
-5.44446, 1.18854, 1.32379, racer
-4.44771, -0.0785258, 1.35599, racer
-4.16147, -1.55474, 1.43309, racer
-4.56947, -2.93131, 1.622, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
-4.27909, -3.36779, 1.67055, racer
