Iteration, Path length, Time, Planning, Flying
1, 0, 0.929, 0.918, 0
2, 0.319116, 1.929, 1.197, 0.72
3, 1.4526, 2.929, 1.197, 1.72
4, 2.68414, 3.929, 1.197, 2.72
5, 4.66092, 4.929, 1.197, 3.72
6, 6.41544, 5.929, 1.197, 4.72
7, 7.74735, 6.93, 1.197, 5.72
8, 8.56252, 7.929, 1.197, 6.72
9, 9.57606, 8.929, 1.197, 7.72
10, 10.7481, 9.929, 1.197, 8.721
11, 11.1308, 10.929, 1.197, 9.72
12, 11.7231, 11.929, 1.197, 10.72
13, 12.9511, 12.929, 1.197, 11.72
14, 14.4504, 13.929, 1.197, 12.72
15, 15.7738, 14.929, 1.197, 13.72
16, 17.4273, 15.929, 1.197, 14.72
17, 18.8252, 16.929, 1.197, 15.72
18, 19.7574, 17.929, 1.197, 16.72
19, 20.9009, 18.929, 1.197, 17.72
20, 22.5157, 19.929, 1.197, 18.72
21, 24.2984, 20.929, 1.197, 19.721
22, 25.9207, 21.929, 1.197, 20.72
23, 27.4932, 22.929, 1.197, 21.72
24, 29.3051, 23.929, 1.197, 22.72
25, 31.295, 24.929, 1.197, 23.72
26, 33.0933, 25.929, 1.197, 24.72
27, 34.7, 26.929, 1.197, 25.72
28, 35.3428, 27.929, 1.197, 26.72
29, 36.0698, 28.929, 1.197, 27.721
30, 37.6462, 29.929, 1.197, 28.72
31, 39.6297, 30.929, 1.197, 29.72
32, 41.193, 31.929, 1.197, 30.72
33, 41.6374, 32.929, 1.257, 31.66
34, 42.6238, 33.929, 1.257, 32.66
35, 44.3001, 34.929, 1.257, 33.66
36, 45.8919, 35.929, 1.257, 34.66
37, 47.3832, 36.929, 1.417, 35.5
38, 47.3832, 37.929, 2.417, 35.5
39, 47.3832, 38.93, 3.417, 35.5
40, 47.3832, 39.929, 4.418, 35.5
41, 47.3832, 40.929, 5.417, 35.5
42, 47.3832, 41.929, 6.417, 35.5
43, 47.3832, 42.929, 7.417, 35.5
44, 47.3832, 43.929, 8.417, 35.5
45, 47.3832, 44.929, 9.417, 35.5
46, 47.3832, 45.93, 10.417, 35.5
47, 47.3832, 46.929, 11.418, 35.5
48, 47.3832, 47.929, 12.417, 35.5
49, 47.3832, 48.929, 13.417, 35.5
50, 47.3832, 49.929, 14.417, 35.5
51, 47.3832, 50.929, 15.417, 35.5
52, 47.3832, 51.929, 16.417, 35.5
53, 47.3832, 52.93, 17.418, 35.5
54, 47.3832, 53.929, 18.417, 35.5
55, 47.3832, 54.929, 19.417, 35.5
56, 47.3832, 55.929, 20.418, 35.5
57, 47.3832, 56.929, 21.417, 35.5
58, 47.3832, 57.929, 22.417, 35.5
59, 47.3832, 58.929, 23.417, 35.5
60, 47.3832, 59.929, 24.417, 35.5
61, 47.3832, 60.929, 25.417, 35.5
62, 47.3832, 61.93, 26.418, 35.5
63, 47.3832, 62.929, 27.417, 35.5
64, 47.3832, 63.929, 28.417, 35.5
65, 47.3832, 64.929, 29.418, 35.5
66, 47.3832, 65.929, 30.417, 35.5
67, 47.3832, 66.929, 31.417, 35.5
68, 47.3832, 67.929, 32.417, 35.5
69, 47.3832, 68.929, 33.417, 35.5
70, 47.3832, 69.929, 34.417, 35.5
71, 47.3832, 70.929, 35.417, 35.5
72, 47.3832, 71.93, 36.417, 35.5
73, 47.3832, 72.929, 37.417, 35.5
74, 47.3832, 73.929, 38.417, 35.5
75, 47.3832, 74.929, 39.417, 35.5
76, 47.3832, 75.929, 40.417, 35.5
77, 47.3832, 76.929, 41.417, 35.5
78, 47.3832, 77.929, 42.417, 35.5
79, 47.3832, 78.929, 43.417, 35.5
80, 47.3832, 79.929, 44.417, 35.5
81, 47.3832, 80.929, 45.417, 35.5
82, 47.3832, 81.929, 46.418, 35.5
83, 47.3832, 82.929, 47.417, 35.5
84, 47.3832, 83.929, 48.417, 35.5
85, 47.3832, 84.929, 49.417, 35.5
86, 47.3832, 85.929, 50.417, 35.5
87, 47.3832, 86.929, 51.417, 35.5
88, 47.3832, 87.929, 52.417, 35.5
89, 47.3832, 88.929, 53.417, 35.5
90, 47.3832, 89.929, 54.417, 35.5
91, 47.3832, 90.929, 55.417, 35.5
92, 47.3832, 91.93, 56.418, 35.5
93, 47.3832, 92.929, 57.417, 35.5
94, 47.3832, 93.929, 58.417, 35.5
95, 47.3832, 94.929, 59.417, 35.5
96, 47.3832, 95.929, 60.417, 35.5
97, 47.3832, 96.929, 61.417, 35.5
98, 47.3832, 97.929, 62.417, 35.5
99, 47.3832, 98.929, 63.417, 35.5
100, 47.3832, 99.929, 64.417, 35.5
101, 47.3832, 100.929, 65.417, 35.5
102, 47.3832, 101.929, 66.417, 35.5
103, 47.3832, 102.929, 67.417, 35.5
104, 47.3832, 103.929, 68.417, 35.5
105, 47.3832, 104.929, 69.417, 35.5
106, 47.3832, 105.929, 70.417, 35.5
107, 47.3832, 106.929, 71.417, 35.5
108, 47.3832, 107.929, 72.417, 35.5
109, 47.3832, 108.929, 73.417, 35.5
110, 47.3832, 109.929, 74.417, 35.5
111, 47.3832, 110.929, 75.417, 35.5
112, 47.3832, 111.929, 76.417, 35.5
113, 47.3832, 112.929, 77.417, 35.5
114, 47.3832, 113.929, 78.417, 35.5
115, 47.3832, 114.929, 79.417, 35.5
116, 47.3832, 115.929, 80.417, 35.5
117, 47.3832, 116.929, 81.417, 35.5
118, 47.3832, 117.93, 82.417, 35.5
119, 47.3832, 118.929, 83.417, 35.5
120, 47.3832, 119.929, 84.417, 35.5
121, 47.3832, 120.929, 85.417, 35.5
122, 47.3832, 121.929, 86.417, 35.5
123, 47.3832, 122.929, 87.417, 35.5
124, 47.3832, 123.929, 88.417, 35.5
125, 47.3832, 124.929, 89.417, 35.5
126, 47.3832, 125.929, 90.417, 35.5
127, 47.3832, 126.929, 91.417, 35.5
128, 47.3832, 127.929, 92.417, 35.5
129, 47.3832, 128.929, 93.417, 35.5
130, 47.3832, 129.929, 94.417, 35.5
131, 47.3832, 130.929, 95.417, 35.5
132, 47.3832, 131.929, 96.417, 35.5
133, 47.3832, 132.929, 97.417, 35.5
134, 47.3832, 133.929, 98.417, 35.5
135, 47.3832, 134.929, 99.417, 35.5
136, 47.3832, 135.929, 100.417, 35.5
